reaction,FBAmodel,upper_bound
EX_gly_e_r,Clostridium_butyricum_DSM_10702,2.25e-10
EX_gly_e_r,Escherichia_coli_SE11,2.25e-10
EX_glyasn_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glyasn_e_f,Escherichia_coli_SE11,1000
EX_glyasn_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_glyasn_e_r,Escherichia_coli_SE11,5e-07
EX_glyasp_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glyasp_e_f,Escherichia_coli_SE11,1000
EX_glyasp_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_glyasp_e_r,Escherichia_coli_SE11,5e-07
EX_glyb_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glyb_e_f,Escherichia_coli_SE11,1000
EX_glyb_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_glyb_e_r,Escherichia_coli_SE11,5e-07
EX_glyc_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glyc_e_f,Escherichia_coli_SE11,1000
EX_glyc_e_r,Clostridium_butyricum_DSM_10702,4.499135e-10
EX_glyc_e_r,Escherichia_coli_SE11,4.499135e-10
EX_glyc3p_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glyc3p_e_f,Escherichia_coli_SE11,1000
EX_glyc3p_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_glyc3p_e_r,Escherichia_coli_SE11,5e-11
EX_glycys_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glycys_e_f,Escherichia_coli_SE11,1000
EX_glycys_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_glycys_e_r,Escherichia_coli_SE11,5e-07
EX_glygln_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glygln_e_f,Escherichia_coli_SE11,1000
EX_glygln_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_glygln_e_r,Escherichia_coli_SE11,5e-07
EX_glyglu_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glyglu_e_f,Escherichia_coli_SE11,1000
EX_glyglu_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_glyglu_e_r,Escherichia_coli_SE11,5e-07
EX_glygn2_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glygn2_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_glygn4_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glygn4_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_glygn5_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glygn5_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_glyleu_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glyleu_e_f,Escherichia_coli_SE11,1000
EX_glyleu_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_glyleu_e_r,Escherichia_coli_SE11,5e-11
EX_glymet_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glymet_e_f,Escherichia_coli_SE11,1000
EX_glymet_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_glymet_e_r,Escherichia_coli_SE11,5e-11
EX_glyphe_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glyphe_e_f,Escherichia_coli_SE11,1000
EX_glyphe_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_glyphe_e_r,Escherichia_coli_SE11,5e-07
EX_glypro_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glypro_e_f,Escherichia_coli_SE11,1000
EX_glypro_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_glypro_e_r,Escherichia_coli_SE11,5e-11
EX_glytyr_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glytyr_e_f,Escherichia_coli_SE11,1000
EX_glytyr_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_glytyr_e_r,Escherichia_coli_SE11,5e-07
EX_gsn_e_f,Escherichia_coli_SE11,1000
EX_gsn_e_r,Escherichia_coli_SE11,1e-10
EX_gua_e_f,Clostridium_butyricum_DSM_10702,1000
EX_gua_e_r,Clostridium_butyricum_DSM_10702,1e-10
EX_h_e_f,Clostridium_butyricum_DSM_10702,1000
EX_h_e_f,Escherichia_coli_SE11,1000
EX_h_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_h_e_r,Escherichia_coli_SE11,5e-11
EX_h2_e_f,Clostridium_butyricum_DSM_10702,1000
EX_h2_e_f,Escherichia_coli_SE11,1000
EX_h2_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_h2_e_r,Escherichia_coli_SE11,5e-11
EX_h2o_e_f,Clostridium_butyricum_DSM_10702,1000
EX_h2o_e_f,Escherichia_coli_SE11,1000
EX_h2o_e_r,Clostridium_butyricum_DSM_10702,5e-09
EX_h2o_e_r,Escherichia_coli_SE11,5e-09
EX_h2s_e_f,Clostridium_butyricum_DSM_10702,1000
EX_h2s_e_f,Escherichia_coli_SE11,1000
EX_h2s_e_r,Clostridium_butyricum_DSM_10702,5e-10
EX_h2s_e_r,Escherichia_coli_SE11,5e-10
EX_hdca_e_f,Escherichia_coli_SE11,1000
EX_hdca_e_r,Escherichia_coli_SE11,1.98185e-10
EX_hexs_e_f,Clostridium_butyricum_DSM_10702,1000
EX_hexs_e_f,Escherichia_coli_SE11,1000
EX_hexs_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_hexs_e_r,Escherichia_coli_SE11,5e-07
EX_hg2_e_f,Clostridium_butyricum_DSM_10702,1000
EX_hg2_e_f,Escherichia_coli_SE11,1000
EX_hg2_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_hg2_e_r,Escherichia_coli_SE11,5e-07
EX_his__L_e_f,Escherichia_coli_SE11,1000
EX_his__L_e_r,Escherichia_coli_SE11,1.5e-10
EX_hxan_e_f,Clostridium_butyricum_DSM_10702,1000
EX_hxan_e_f,Escherichia_coli_SE11,1000
EX_hxan_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_hxan_e_r,Escherichia_coli_SE11,5e-11
EX_ile__L_e_f,Clostridium_butyricum_DSM_10702,1000
EX_ile__L_e_f,Escherichia_coli_SE11,1000
EX_ile__L_e_r,Clostridium_butyricum_DSM_10702,7.5e-11
EX_ile__L_e_r,Escherichia_coli_SE11,7.5e-11
EX_indole_e_f,Escherichia_coli_SE11,1000
EX_indole_e_r,Escherichia_coli_SE11,1e-10
EX_ins_e_f,Clostridium_butyricum_DSM_10702,1000
EX_ins_e_f,Escherichia_coli_SE11,1000
EX_ins_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_ins_e_r,Escherichia_coli_SE11,5e-11
EX_isetac_e_f,Clostridium_butyricum_DSM_10702,1000
EX_isetac_e_f,Escherichia_coli_SE11,1000
EX_isetac_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_isetac_e_r,Escherichia_coli_SE11,5e-07
EX_k_e_f,Clostridium_butyricum_DSM_10702,1000
EX_k_e_f,Escherichia_coli_SE11,1000
EX_k_e_r,Clostridium_butyricum_DSM_10702,5e-10
EX_k_e_r,Escherichia_coli_SE11,5e-10
EX_kesto_e_f,Clostridium_butyricum_DSM_10702,1000
EX_kesto_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_kestopt_e_f,Clostridium_butyricum_DSM_10702,1000
EX_kestopt_e_r,Clostridium_butyricum_DSM_10702,6.25e-11
EX_kestottr_e_f,Clostridium_butyricum_DSM_10702,1000
EX_kestottr_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_lac__D_e_f,Clostridium_butyricum_DSM_10702,1000
EX_lac__D_e_f,Escherichia_coli_SE11,1000
EX_lac__D_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_lac__D_e_r,Escherichia_coli_SE11,5e-07
EX_lac__L_e_f,Clostridium_butyricum_DSM_10702,1000
EX_lac__L_e_f,Escherichia_coli_SE11,1000
EX_lac__L_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_lac__L_e_r,Escherichia_coli_SE11,5e-11
EX_lactl_e_f,Clostridium_butyricum_DSM_10702,1000
EX_lactl_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_Lcyst_e_f,Clostridium_butyricum_DSM_10702,1000
EX_Lcyst_e_f,Escherichia_coli_SE11,1000
EX_Lcyst_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_Lcyst_e_r,Escherichia_coli_SE11,5e-07
EX_leu__L_e_f,Clostridium_butyricum_DSM_10702,1000
EX_leu__L_e_f,Escherichia_coli_SE11,1000
EX_leu__L_e_r,Clostridium_butyricum_DSM_10702,7.5e-11
EX_leu__L_e_r,Escherichia_coli_SE11,7.5e-11
EX_lys__L_e_f,Clostridium_butyricum_DSM_10702,1000
EX_lys__L_e_f,Escherichia_coli_SE11,1000
EX_lys__L_e_r,Clostridium_butyricum_DSM_10702,7.5e-11
EX_lys__L_e_r,Escherichia_coli_SE11,7.5e-11
EX_mal__L_e_f,Escherichia_coli_SE11,1000
EX_mal__L_e_r,Escherichia_coli_SE11,1e-10
EX_malt_e_f,Clostridium_butyricum_DSM_10702,1000
EX_malt_e_f,Escherichia_coli_SE11,1000
EX_malt_e_r,Clostridium_butyricum_DSM_10702,9.87e-12
EX_malt_e_r,Escherichia_coli_SE11,9.87e-12
EX_malthx_e_f,Clostridium_butyricum_DSM_10702,1000
EX_malthx_e_f,Escherichia_coli_SE11,1000
EX_malthx_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_malthx_e_r,Escherichia_coli_SE11,5e-07
EX_malttr_e_f,Clostridium_butyricum_DSM_10702,1000
EX_malttr_e_f,Escherichia_coli_SE11,1000
EX_malttr_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_malttr_e_r,Escherichia_coli_SE11,5e-07
EX_man_e_f,Clostridium_butyricum_DSM_10702,1000
EX_man_e_f,Escherichia_coli_SE11,1000
EX_man_e_r,Clostridium_butyricum_DSM_10702,1.9735e-11
EX_man_e_r,Escherichia_coli_SE11,1.9735e-11
EX_man6p_e_f,Clostridium_butyricum_DSM_10702,1000
EX_man6p_e_f,Escherichia_coli_SE11,1000
EX_man6p_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_man6p_e_r,Escherichia_coli_SE11,5e-07
EX_mantr_e_f,Clostridium_butyricum_DSM_10702,1000
EX_mantr_e_f,Escherichia_coli_SE11,1000
EX_mantr_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_mantr_e_r,Escherichia_coli_SE11,5e-07
EX_melib_e_f,Clostridium_butyricum_DSM_10702,1000
EX_melib_e_f,Escherichia_coli_SE11,1000
EX_melib_e_r,Clostridium_butyricum_DSM_10702,9.87e-12
EX_melib_e_r,Escherichia_coli_SE11,9.87e-12
EX_meoh_e_f,Clostridium_butyricum_DSM_10702,1000
EX_meoh_e_r,Clostridium_butyricum_DSM_10702,1e-08
EX_met__D_e_f,Clostridium_butyricum_DSM_10702,1000
EX_met__D_e_f,Escherichia_coli_SE11,1000
EX_met__D_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_met__D_e_r,Escherichia_coli_SE11,5e-07
EX_met__L_e_f,Clostridium_butyricum_DSM_10702,1000
EX_met__L_e_f,Escherichia_coli_SE11,1000
EX_met__L_e_r,Clostridium_butyricum_DSM_10702,9e-11
EX_met__L_e_r,Escherichia_coli_SE11,9e-11
EX_metala_e_f,Clostridium_butyricum_DSM_10702,1000
EX_metala_e_f,Escherichia_coli_SE11,1000
EX_metala_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_metala_e_r,Escherichia_coli_SE11,5e-07
EX_metsox__R__L_e_f,Escherichia_coli_SE11,1000
EX_metsox__R__L_e_r,Escherichia_coli_SE11,1e-06
EX_metsox__S__L_e_f,Clostridium_butyricum_DSM_10702,1000
EX_metsox__S__L_e_f,Escherichia_coli_SE11,1000
EX_metsox__S__L_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_metsox__S__L_e_r,Escherichia_coli_SE11,5e-11
EX_mg2_e_f,Clostridium_butyricum_DSM_10702,1000
EX_mg2_e_f,Escherichia_coli_SE11,1000
EX_mg2_e_r,Clostridium_butyricum_DSM_10702,5e-10
EX_mg2_e_r,Escherichia_coli_SE11,5e-10
EX_MGlcn100__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn100__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn100_e_f,Escherichia_coli_SE11,1000
EX_MGlcn100_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn101__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn101__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn101_e_f,Escherichia_coli_SE11,1000
EX_MGlcn101_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn102__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn102__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn102_e_f,Escherichia_coli_SE11,1000
EX_MGlcn102_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn104__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn104__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn104_e_f,Escherichia_coli_SE11,1000
EX_MGlcn104_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn105__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn105__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn105_e_f,Escherichia_coli_SE11,1000
EX_MGlcn105_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn106__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn106__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn106_e_f,Escherichia_coli_SE11,1000
EX_MGlcn106_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn107__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn107__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn107_e_f,Escherichia_coli_SE11,1000
EX_MGlcn107_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn109__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn109__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn109_e_f,Escherichia_coli_SE11,1000
EX_MGlcn109_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn110__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn110__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn110_e_f,Escherichia_coli_SE11,1000
EX_MGlcn110_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn111__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn111__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn111_e_f,Escherichia_coli_SE11,1000
EX_MGlcn111_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn112__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn112__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn112_e_f,Escherichia_coli_SE11,1000
EX_MGlcn112_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn113__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn113__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn113_e_f,Escherichia_coli_SE11,1000
EX_MGlcn113_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn114__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn114__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn114_e_f,Escherichia_coli_SE11,1000
EX_MGlcn114_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn115__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn115__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn115_e_f,Escherichia_coli_SE11,1000
EX_MGlcn115_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn117__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn117__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn117_e_f,Escherichia_coli_SE11,1000
EX_MGlcn117_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn12__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn12__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn12_e_f,Escherichia_coli_SE11,1000
EX_MGlcn12_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn120__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn120__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn120_e_f,Escherichia_coli_SE11,1000
EX_MGlcn120_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn126__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn126__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn126_e_f,Escherichia_coli_SE11,1000
EX_MGlcn126_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn13__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn13__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn13_e_f,Escherichia_coli_SE11,1000
EX_MGlcn13_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn130__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn130__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn130_e_f,Escherichia_coli_SE11,1000
EX_MGlcn130_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn131__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn131__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn131_e_f,Escherichia_coli_SE11,1000
EX_MGlcn131_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn137__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn137__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn137_e_f,Escherichia_coli_SE11,1000
EX_MGlcn137_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn138__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn138__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn138_e_f,Escherichia_coli_SE11,1000
EX_MGlcn138_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn139__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn139__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn139_e_f,Escherichia_coli_SE11,1000
EX_MGlcn139_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn14__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn14__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn14_e_f,Escherichia_coli_SE11,1000
EX_MGlcn14_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn140__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn140__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn140_e_f,Escherichia_coli_SE11,1000
EX_MGlcn140_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn141__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn141__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn141_e_f,Escherichia_coli_SE11,1000
EX_MGlcn141_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn142__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn142__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn142_e_f,Escherichia_coli_SE11,1000
EX_MGlcn142_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn143__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn143__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn143_e_f,Escherichia_coli_SE11,1000
EX_MGlcn143_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn144__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn144__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn144_e_f,Escherichia_coli_SE11,1000
EX_MGlcn144_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn145__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn145__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn145_e_f,Escherichia_coli_SE11,1000
EX_MGlcn145_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn146__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn146__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn146_e_f,Escherichia_coli_SE11,1000
EX_MGlcn146_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn147__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn147__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn147_e_f,Escherichia_coli_SE11,1000
EX_MGlcn147_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn148__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn148__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn148_e_f,Escherichia_coli_SE11,1000
EX_MGlcn148_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn149__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn149__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn149_e_f,Escherichia_coli_SE11,1000
EX_MGlcn149_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn150__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn150__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn150_e_f,Escherichia_coli_SE11,1000
EX_MGlcn150_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn151__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn151__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn151_e_f,Escherichia_coli_SE11,1000
EX_MGlcn151_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn152__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn152__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn152_e_f,Escherichia_coli_SE11,1000
EX_MGlcn152_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn153__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn153__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn153_e_f,Escherichia_coli_SE11,1000
EX_MGlcn153_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn154__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn154__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn154_e_f,Escherichia_coli_SE11,1000
EX_MGlcn154_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn155__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn155__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn155_e_f,Escherichia_coli_SE11,1000
EX_MGlcn155_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn156__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn156__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn156_e_f,Escherichia_coli_SE11,1000
EX_MGlcn156_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn157__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn157__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn157_e_f,Escherichia_coli_SE11,1000
EX_MGlcn157_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn158__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn158__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn158_e_f,Escherichia_coli_SE11,1000
EX_MGlcn158_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn159__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn159__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn159_e_f,Escherichia_coli_SE11,1000
EX_MGlcn159_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn16__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn16__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn16_e_f,Escherichia_coli_SE11,1000
EX_MGlcn16_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn160__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn160__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn160_e_f,Escherichia_coli_SE11,1000
EX_MGlcn160_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn161__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn161__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn161_e_f,Escherichia_coli_SE11,1000
EX_MGlcn161_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn163__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn163__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn163_e_f,Escherichia_coli_SE11,1000
EX_MGlcn163_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn164__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn164__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn164_e_f,Escherichia_coli_SE11,1000
EX_MGlcn164_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn165__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn165__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn165_e_f,Escherichia_coli_SE11,1000
EX_MGlcn165_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn166__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn166__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn166_e_f,Escherichia_coli_SE11,1000
EX_MGlcn166_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn167__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn167__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn167_e_f,Escherichia_coli_SE11,1000
EX_MGlcn167_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn168__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn168__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn168_e_f,Escherichia_coli_SE11,1000
EX_MGlcn168_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn169__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn169__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn169_e_f,Escherichia_coli_SE11,1000
EX_MGlcn169_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn170__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn170__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn170_e_f,Escherichia_coli_SE11,1000
EX_MGlcn170_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn171__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn171__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn171_e_f,Escherichia_coli_SE11,1000
EX_MGlcn171_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn172__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn172__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn172_e_f,Escherichia_coli_SE11,1000
EX_MGlcn172_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn173__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn173__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn173_e_f,Escherichia_coli_SE11,1000
EX_MGlcn173_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn174__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn174__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn174_e_f,Escherichia_coli_SE11,1000
EX_MGlcn174_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn175__rl_e_f,Escherichia_coli_SE11,1000
EX_MGlcn175__rl_e_r,Escherichia_coli_SE11,1e-06
EX_MGlcn175_e_f,Escherichia_coli_SE11,1000
